Number,Data Element,Variable Code,Variable
D01_19,EMS Agency Time Zone,5930,GMT-08:00 Pacific Time
D01_19,EMS Agency Time Zone,5940,GMT-07:00 Mountain Time
D01_19,EMS Agency Time Zone,5950,GMT-06:00 Central Time
D01_19,EMS Agency Time Zone,5960,GMT-05:00 Eastern Time
D01_19,EMS Agency Time Zone,5970,GMT-04:00 Atlantic Time
D01_20,EMS Agency Daylight Savings Time Use,0,No
D01_20,EMS Agency Daylight Savings Time Use,1,Yes
D01_21,National Provider Identifier,-25,Not Applicable
D01_21,National Provider Identifier,-15,Not Reporting
D01_21,National Provider Identifier,-10,Not Known
D01_21,National Provider Identifier,-5,Not Available
D02_02,Agency Contact Middle Name/Initial,-25,Not Applicable
D02_02,Agency Contact Middle Name/Initial,-10,Not Known
D02_02,Agency Contact Middle Name/Initial,-5,Not Available
D02_03,Agency Contact First Name,-25,Not Applicable
D02_03,Agency Contact First Name,-10,Not Known
D02_03,Agency Contact First Name,-5,Not Available
D02_04,Agency Contact Address,-25,Not Applicable
D02_04,Agency Contact Address,-10,Not Known
D02_04,Agency Contact Address,-5,Not Available
D02_05,Agency Contact City,-25,Not Applicable
D02_05,Agency Contact City,-10,Not Known
D02_05,Agency Contact City,-5,Not Available
D02_06,Agency Contact State,-25,Not Applicable
D02_06,Agency Contact State,-10,Not Known
D02_06,Agency Contact State,-5,Not Available
D02_08,Agency Contact Telephone Number,-25,Not Applicable
D02_08,Agency Contact Telephone Number,-10,Not Known
D02_08,Agency Contact Telephone Number,-5,Not Available
D02_09,Agency Contact Fax Number,-25,Not Applicable
D02_09,Agency Contact Fax Number,-10,Not Known
D02_09,Agency Contact Fax Number,-5,Not Available
D02_10,Agency Contact Email Address,-25,Not Applicable
D02_10,Agency Contact Email Address,-10,Not Known
D02_10,Agency Contact Email Address,-5,Not Available
D02_11,Agency Contact Web Address,-25,Not Applicable
D02_11,Agency Contact Web Address,-10,Not Known
D02_11,Agency Contact Web Address,-5,Not Available
D03_02,Agency Medical Director Middle Name/Initial,-25,Not Applicable
D03_02,Agency Medical Director Middle Name/Initial,-10,Not Known
D03_02,Agency Medical Director Middle Name/Initial,-5,Not Available
D03_03,Agency Medical Director First Name,-25,Not Applicable
D03_03,Agency Medical Director First Name,-10,Not Known
D03_03,Agency Medical Director First Name,-5,Not Available
D03_04,Agency Medical Director Address,-25,Not Applicable
D03_04,Agency Medical Director Address,-10,Not Known
D03_04,Agency Medical Director Address,-5,Not Available
D03_05,Agency Medical Director City,-25,Not Applicable
D03_05,Agency Medical Director City,-10,Not Known
D03_05,Agency Medical Director City,-5,Not Available
D03_06,Agency Medical Director State,-25,Not Applicable
D03_06,Agency Medical Director State,-10,Not Known
D03_06,Agency Medical Director State,-5,Not Available
D03_08,Agency Medical Director Telephone Number,-25,Not Applicable
D03_08,Agency Medical Director Telephone Number,-10,Not Known
D03_08,Agency Medical Director Telephone Number,-5,Not Available
D03_09,Agency Medical Director Fax Number,-25,Not Applicable
D03_09,Agency Medical Director Fax Number,-10,Not Known
D03_09,Agency Medical Director Fax Number,-5,Not Available
D03_10,Agency Medical Director's Medical Specialty,-25,Not Applicable
D03_10,Agency Medical Director's Medical Specialty,-10,Not Known
D03_10,Agency Medical Director's Medical Specialty,-5,Not Available
D03_10,Agency Medical Director's Medical Specialty,5980,Anesthesiology
D03_10,Agency Medical Director's Medical Specialty,5990,Cardiology
D03_10,Agency Medical Director's Medical Specialty,6000,Emergency Medicine
D03_10,Agency Medical Director's Medical Specialty,6010,Family Practice
D03_10,Agency Medical Director's Medical Specialty,6020,General Practice (not board certified)
D03_10,Agency Medical Director's Medical Specialty,6030,Internal Medicine
D03_10,Agency Medical Director's Medical Specialty,6040,Obstetrics and Gynecology
D03_10,Agency Medical Director's Medical Specialty,6050,Orthopedics
D03_10,Agency Medical Director's Medical Specialty,6060,Other
D03_10,Agency Medical Director's Medical Specialty,6070,Pediatrics
D03_10,Agency Medical Director's Medical Specialty,6080,Surgery
D03_11,Agency Medical Director Email Address,-25,Not Applicable
D03_11,Agency Medical Director Email Address,-10,Not Known
D03_11,Agency Medical Director Email Address,-5,Not Available
D04_01,State Certification Licensure Levels,6090,EMT-Basic
D04_01,State Certification Licensure Levels,6100,EMT-Intermediate
D04_01,State Certification Licensure Levels,6110,EMT-Paramedic
D04_01,State Certification Licensure Levels,6111,Nurse
D04_01,State Certification Licensure Levels,6112,Physician
D04_01,State Certification Licensure Levels,6120,First Responder
D04_04,Procedures,1.181,CNS Catheter-Epidural Maintenance
D04_04,Procedures,1.182,CNS Catheter-Intraventricular Maintenance
D04_04,Procedures,31.110,Airway-Needle Cricothyrotomy
D04_04,Procedures,31.120,Airway-Surgical Cricothyrotomy
D04_04,Procedures,31.420,Airway-Direct Laryngoscopy
D04_04,Procedures,31.421,Airway-Video Laryngoscopy
D04_04,Procedures,34.041,Chest Decompression
D04_04,Procedures,34.042,Chest Tube Placement
D04_04,Procedures,37.000,Pericardiocentesis
D04_04,Procedures,37.611,Intra-Aortic Balloon Pump Maintenance
D04_04,Procedures,37.612,Left Ventricular Assist Device Maintenance
D04_04,Procedures,38.910,Arterial Access-Blood Draw
D04_04,Procedures,38.990,Venous Access-Blood Draw
D04_04,Procedures,38.991,Venous Access-Existing Catheter
D04_04,Procedures,38.992,Venous Access-Extremity
D04_04,Procedures,38.993,Venous Access-External Jugular Line
D04_04,Procedures,38.994,Venous Access-Femoral Line
D04_04,Procedures,38.995,Blood Glucose Analysis
D04_04,Procedures,39.995,Venous Access-Internal Jugular Line
D04_04,Procedures,39.996,Venous Access-Subclavian Line
D04_04,Procedures,39.997,Venous Access-Discontinue
D04_04,Procedures,39.998,Venous Access-Umbilical Vein Cannulation
D04_04,Procedures,41.920,Venous Access-Intraosseous Adult
D04_04,Procedures,41.921,Venous Access-Intraosseous Pediatric
D04_04,Procedures,57.940,Urinary Catheterization
D04_04,Procedures,73.590,Childbirth
D04_04,Procedures,79.700,Joint Reduction/Relocation
D04_04,Procedures,86.090,Escharotomy
D04_04,Procedures,86.280,Decontamination
D04_04,Procedures,89.391,Capnography (CO2 Measurement)
D04_04,Procedures,89.392,Pulse Oximetry
D04_04,Procedures,89.510,Cardiac Monitor
D04_04,Procedures,89.590,Orthostatic Blood Pressure Measurement
D04_04,Procedures,89.599,"Patient Monitoring of Pre-existing Devices, Equipment, or Ongoing Medications"
D04_04,Procedures,89.610,Arterial Line Maintenance
D04_04,Procedures,89.620,Venous Access-Central Line Maintenance
D04_04,Procedures,89.640,Venous Access-Swan Ganz Maintenance
D04_04,Procedures,89.700,Assessment-Adult
D04_04,Procedures,89.701,Assessment-Pediatric
D04_04,Procedures,89.702,Pain Measurement
D04_04,Procedures,89.703,Temperature Measurement
D04_04,Procedures,89.704,Thrombolytic Screen
D04_04,Procedures,89.820,12 Lead ECG-Obtain
D04_04,Procedures,89.821,12 Lead ECG-Transmitted
D04_04,Procedures,93.055,Wound Care-Taser Barb Removal
D04_04,Procedures,93.056,Wound Care-Tourniquet
D04_04,Procedures,93.057,Wound Care-General
D04_04,Procedures,93.058,Wound Care-Irrigation
D04_04,Procedures,93.059,Wound Care-Hemostatic Agent
D04_04,Procedures,93.350,"Patient Warming (Hot Pack, etc.)"
D04_04,Procedures,93.450,Splinting-Traction
D04_04,Procedures,93.540,Splinting-Basic
D04_04,Procedures,93.580,MAST
D04_04,Procedures,93.591,Spinal Immobilization
D04_04,Procedures,93.900,Airway-CPAP
D04_04,Procedures,93.910,Airway-Respirator Operation (BLS)
D04_04,Procedures,93.930,Airway-Bagged (via tube)
D04_04,Procedures,93.931,Airway-Bagged (via BVMask)
D04_04,Procedures,93.940,Airway-Nebulizer Treatment
D04_04,Procedures,96.010,Airway-Nasal
D04_04,Procedures,96.020,Airway-Oral
D04_04,Procedures,96.030,Airway-EOA/EGTA
D04_04,Procedures,96.040,Airway-Orotracheal Intubation
D04_04,Procedures,96.041,Airway-Nasotracheal Intubation
D04_04,Procedures,96.042,Airway-Rapid Sequence Intubation
D04_04,Procedures,96.051,Airway-Combitube Blind Insertion Airway Device
D04_04,Procedures,96.052,Airway-Laryngeal Mask Blind Insertion Airway Device
D04_04,Procedures,96.053,Airway-King LT Blind Insertion Airway Device
D04_04,Procedures,96.070,Gastric Tube Insertion-Inserted Nasally
D04_04,Procedures,96.071,Gastric Tube Insertion-Inserted Orally
D04_04,Procedures,96.700,Airway-Ventilator Operation
D04_04,Procedures,96.701,Airway-Ventilator with PEEP
D04_04,Procedures,96.702,Airway-BiPAP
D04_04,Procedures,96.703,Airway-Impedance Threshold Device
D04_04,Procedures,96.790,Airway-PEEP
D04_04,Procedures,96.991,Airway-Intubation Confirm Colorimetric ETCO2
D04_04,Procedures,96.992,Airway-Intubation Confirm Esophageal Bulb
D04_04,Procedures,96.993,Airway-Extubation
D04_04,Procedures,97.230,Airway-Change Tracheostomy Tube
D04_04,Procedures,97.231,Airway-Intubation of Existing Tracheostomy Stoma
D04_04,Procedures,98.130,"Airway-Cleared, Opened, or Heimlich"
D04_04,Procedures,98.131,Airway-Foreign Body Removal
D04_04,Procedures,98.150,Airway-Suctioning
D04_04,Procedures,99.640,Vagal Maneuver-Carotid Massage
D04_04,Procedures,99.641,Vagal Maneuver-Valsalva or Other Vagal Maneuver (Not Carotid Massage)
D04_04,Procedures,99.841,Restraints-Pharmacological
D04_04,Procedures,99.842,Restraints-Physical
D04_04,Procedures,99.810,"Patient Cooling (Cold Pack, etc.)"
D04_04,Procedures,99.811,Patient Cooling-Post Resuscitation
D04_04,Procedures,99.290,Injections-SQ/IM
D04_04,Procedures,99.624,Cardiac Pacing-External
D04_04,Procedures,99.626,Cardiac Pacing-Transvenous
D04_04,Procedures,99.623,Cardioversion
D04_04,Procedures,99.601,CPR by Other External Automated Device
D04_04,Procedures,99.602,CPR-AutoPulse Device
D04_04,Procedures,99.603,CPR-Mechanical Thumper Type Device
D04_04,Procedures,99.604,CPR-Precordial Thump Only
D04_04,Procedures,99.600,CPR-Start Compressions and Ventilations
D04_04,Procedures,99.611,CPR-Start Compressions only without Ventilation
D04_04,Procedures,99.612,CPR-Start Rescue Breathing without Compressions
D04_04,Procedures,99.615,CPR-Stop
D04_04,Procedures,99.621,Defibrillation-Automated (AED)
D04_04,Procedures,99.622,Defibrillation-Manual
D04_04,Procedures,99.625,Defibrillation-Placement for Monitoring/Analysis
D04_04,Procedures,100.100,Rescue
D04_04,Procedures,100.200,Extrication
D04_04,Procedures,100.301,Patient Loaded-Helicopter Hot-Load
D04_04,Procedures,100.302,Patient Off-Loaded
D04_04,Procedures,100.303,Patient Off-Loaded Helicopter Hot Off-Load
D04_04,Procedures,101.101,Specialty Center Activation-Adult Trauma
D04_04,Procedures,101.102,Specialty Center Activation-Pediatric Trauma
D04_04,Procedures,101.103,Specialty Center Activation-Cardiac Arrest
D04_04,Procedures,101.104,Specialty Center Activation-STEMI
D04_04,Procedures,101.105,Specialty Center Activation-Stroke
D04_04,Procedures,101.201,Activation-Advanced Hazmat Specialty Service/Response Team
D04_04,Procedures,101.202,Activation-Fire Rehabilitation Specialty Service/Response Team
D04_04,Procedures,101.203,Activation-Other Specialty Service/Response Team
D04_04,Procedures,101.204,Activation-Rescue Specialty Service/Response Team
D04_04,Procedures,101.205,Activation-Social Services Notification/Referral
D04_04,Procedures,101.206,Activation-Tactical or SWAT Specialty Service/Response Team
D04_04,Procedures,100.300,Patient Loaded
D04_04,Procedures,101.500,Contact Medical Control
D04_08,Protocol,6720,Abdominal Pain
D04_08,Protocol,6730,Airway
D04_08,Protocol,6740,Airway-Failed
D04_08,Protocol,6760,Airway-RSI
D04_08,Protocol,6770,Allergic Reaction/Anaphylaxis
D04_08,Protocol,6780,Altered Mental Status
D04_08,Protocol,6785,AltitudeSickness
D04_08,Protocol,6790,Asystole
D04_08,Protocol,6791,Atrial Fibrillation
D04_08,Protocol,6800,Back Pain
D04_08,Protocol,6810,Behavioral
D04_08,Protocol,6820,Bites and Envenomations
D04_08,Protocol,6830,Bradycardia
D04_08,Protocol,6840,Burns
D04_08,Protocol,6850,Cardiac Arrest
D04_08,Protocol,6860,Cardiac Chest Pain
D04_08,Protocol,6870,Childbirth/Labor
D04_08,Protocol,6875,Cold Exposure
D04_08,Protocol,6880,Dental Problems
D04_08,Protocol,6881,Device Malfunction
D04_08,Protocol,6885,Diarrhea
D04_08,Protocol,6890,Drowning/Near Drowning
D04_08,Protocol,6892,Diving Emergencies
D04_08,Protocol,6900,Electrical Injuries
D04_08,Protocol,6910,Epistaxis
D04_08,Protocol,6911,Exposure-Airway Irritants
D04_08,Protocol,6912,Exposure-Biological/Infectious
D04_08,Protocol,6913,Exposure-Blistering Agents
D04_08,Protocol,6914,Exposure-Cyanide
D04_08,Protocol,6915,Exposure-Nerve Agents
D04_08,Protocol,6916,Exposure-Radiologic Agents
D04_08,Protocol,6917,Exposure-Riot Control Agents
D04_08,Protocol,6920,Extremity Trauma
D04_08,Protocol,6925,Eye Trauma
D04_08,Protocol,6930,Fever
D04_08,Protocol,6935,Gynecologic Emergencies
D04_08,Protocol,6940,Head Trauma
D04_08,Protocol,6945,Hyperglycemia
D04_08,Protocol,6950,Hypertension
D04_08,Protocol,6960,Hyperthermia
D04_08,Protocol,6965,Hypoglycemia
D04_08,Protocol,6970,Hypotension/Shock (Non-Trauma)
D04_08,Protocol,6980,Hypothermia
D04_08,Protocol,6990,IV Access
D04_08,Protocol,7000,Trauma-Multisystem
D04_08,Protocol,7010,Newly Born
D04_08,Protocol,7020,Obstetrical Emergencies
D04_08,Protocol,7030,Overdose/Toxic Ingestion
D04_08,Protocol,7040,Pain Control
D04_08,Protocol,7130,Post Resuscitation
D04_08,Protocol,7140,Pulmonary Edema
D04_08,Protocol,7150,Pulseless Electrical Activity
D04_08,Protocol,7160,Respiratory Distress
D04_08,Protocol,7170,Seizure
D04_08,Protocol,7175,Spinal Cord Trauma
D04_08,Protocol,7180,Spinal Immobilization
D04_08,Protocol,7190,Supraventricular Tachycardia
D04_08,Protocol,7200,Stroke/TIA
D04_08,Protocol,7210,Syncope
D04_08,Protocol,7214,Trauma-Arrest
D04_08,Protocol,7215,Trauma-Amputation
D04_08,Protocol,7220,Universal Patient Care
D04_08,Protocol,7230,Ventricular Fibrillation
D04_08,Protocol,7232,Ventricular Ectopy
D04_08,Protocol,7240,Ventricular Tachycardia
D04_08,Protocol,7251,Vomiting
D04_09,Personnel Level Permitted to Use the Protocol,6090,EMT-Basic
D04_09,Personnel Level Permitted to Use the Protocol,6100,EMT-Intermediate
D04_09,Personnel Level Permitted to Use the Protocol,6110,EMT-Paramedic
D04_09,Personnel Level Permitted to Use the Protocol,6111,Nurse
D04_09,Personnel Level Permitted to Use the Protocol,6112,Physician
D04_09,Personnel Level Permitted to Use the Protocol,6120,First Responder
D04_10,Billing Status,0,No
D04_10,Billing Status,1,Yes
D04_12,Hospital Facility Number,-25,Not Applicable
D04_12,Hospital Facility Number,-10,Not Known
D04_12,Hospital Facility Number,-5,Not Available
D04_14,Destination Facility Number,-25,Not Applicable
D04_14,Destination Facility Number,-10,Not Known
D04_14,Destination Facility Number,-5,Not Available
D04_15,Destination Type,7270,Home
D04_15,Destination Type,7280,Hospital
D04_15,Destination Type,7290,Medical Office/Clinic
D04_15,Destination Type,7300,Morgue
D04_15,Destination Type,7320,Nursing Home
D04_15,Destination Type,7330,Other
D04_15,Destination Type,7340,Other EMS Responder (air)
D04_15,Destination Type,7350,Other EMS Responder (ground)
D04_15,Destination Type,7360,Police/Jail
D05_02,Station Number,-25,Not Applicable
D05_02,Station Number,-10,Not Known
D05_02,Station Number,-5,Not Available
D05_05,Station Address,-25,Not Applicable
D05_05,Station Address,-10,Not Known
D05_05,Station Address,-5,Not Available
D05_06,Station City,-25,Not Applicable
D05_06,Station City,-10,Not Known
D05_06,Station City,-5,Not Available
D05_07,Station State,-25,Not Applicable
D05_07,Station State,-10,Not Known
D05_07,Station State,-5,Not Available
D05_09,Station Telephone Number,-25,Not Applicable
D05_09,Station Telephone Number,-10,Not Known
D05_09,Station Telephone Number,-5,Not Available
D06_03,Vehicle Type,7370,Ambulance
D06_03,Vehicle Type,7380,ATV
D06_03,Vehicle Type,7390,Bicycle
D06_03,Vehicle Type,7400,Boat
D06_03,Vehicle Type,7410,Fire Truck
D06_03,Vehicle Type,7420,Fixed Wing
D06_03,Vehicle Type,7430,Motorcycle
D06_03,Vehicle Type,7440,Other
D06_03,Vehicle Type,7450,Private Vehicle
D06_03,Vehicle Type,7460,Quick Response Vehicle (Non-Transport Vehicle other than Fire Truck
D06_03,Vehicle Type,7470,Rescue
D06_03,Vehicle Type,7480,Rotor Craft
D06_04,State Certification/Licensure Levels,6090,EMT-Basic
D06_04,State Certification/Licensure Levels,6100,EMT-Intermediate
D06_04,State Certification/Licensure Levels,6110,EMT-Paramedic
D06_04,State Certification/Licensure Levels,6111,Nurse
D06_04,State Certification/Licensure Levels,6112,Physician
D06_04,State Certification/Licensure Levels,6120,First Responder
D06_09,Annual Vehicle Hours,-25,Not Applicable
D06_09,Annual Vehicle Hours,-10,Not Known
D06_09,Annual Vehicle Hours,-5,Not Available
D06_10,Annual Vehicle Miles,-25,Not Applicable
D06_10,Annual Vehicle Miles,-10,Not Known
D06_10,Annual Vehicle Miles,-5,Not Available
D07_03,Personnel's Employment Status,7490,Full Time Paid Employee
D07_03,Personnel's Employment Status,7500,Full Time Unpaid Employee
D07_03,Personnel's Employment Status,7510,Part Time Paid and Part Time Unpaid Employee
D07_03,Personnel's Employment Status,7520,Part Time Paid Employee
D07_03,Personnel's Employment Status,7530,Part Time Unpaid Employee
D07_05,Personnel's Level of Certification/Licensure for Agency,6090,EMT-Basic
D07_05,Personnel's Level of Certification/Licensure for Agency,6100,EMT-Intermediate
D07_05,Personnel's Level of Certification/Licensure for Agency,6110,EMT-Paramedic
D07_05,Personnel's Level of Certification/Licensure for Agency,6111,Nurse
D07_05,Personnel's Level of Certification/Licensure for Agency,6112,Physician
D07_05,Personnel's Level of Certification/Licensure for Agency,6120,First Responder
D07_05,Personnel's Level of Certification/Licensure for Agency,10007,Text as defined in D04_01
D08_02,EMS Personnel's Middle Name/Initial,-25,Not Applicable
D08_02,EMS Personnel's Middle Name/Initial,-10,Not Known
D08_02,EMS Personnel's Middle Name/Initial,-5,Not Available
D08_03,EMS Personnel's First Name,-25,Not Applicable
D08_03,EMS Personnel's First Name,-10,Not Known
D08_03,EMS Personnel's First Name,-5,Not Available
D08_04,EMS Personnel's Mailing Address,-25,Not Applicable
D08_04,EMS Personnel's Mailing Address,-10,Not Known
D08_04,EMS Personnel's Mailing Address,-5,Not Available
D08_05,EMS Personnel's City of Residence,-25,Not Applicable
D08_05,EMS Personnel's City of Residence,-10,Not Known
D08_05,EMS Personnel's City of Residence,-5,Not Available
D08_06,EMS Personnel's State,-25,Not Applicable
D08_06,EMS Personnel's State,-10,Not Known
D08_06,EMS Personnel's State,-5,Not Available
D08_08,EMS Personnel's Work Telephone,-25,Not Applicable
D08_08,EMS Personnel's Work Telephone,-10,Not Known
D08_08,EMS Personnel's Work Telephone,-5,Not Available
D08_09,EMS Personnel's Home Telephone,-25,Not Applicable
D08_09,EMS Personnel's Home Telephone,-10,Not Known
D08_09,EMS Personnel's Home Telephone,-5,Not Available
D08_10,EMS Personnel's Email Address,-25,Not Applicable
D08_10,EMS Personnel's Email Address,-10,Not Known
D08_10,EMS Personnel's Email Address,-5,Not Available
D08_12,EMS Personnel's Gender,-25,Not Applicable
D08_12,EMS Personnel's Gender,-10,Not Known
D08_12,EMS Personnel's Gender,-5,Not Available
D08_12,EMS Personnel's Gender,650,Male
D08_12,EMS Personnel's Gender,655,Female
D08_13,EMS Personnel's Race,660,American Indian or Alaska Native
D08_13,EMS Personnel's Race,665,Asian
D08_13,EMS Personnel's Race,670,Black or African American
D08_13,EMS Personnel's Race,675,Native Hawaiian or Other Pacific Islander
D08_13,EMS Personnel's Race,680,White
D08_13,EMS Personnel's Race,685,Other Race
D08_14,EMS Personnel's Ethnicity,690,Hispanic or Latino
D08_14,EMS Personnel's Ethnicity,695,Not Hispanic or Latino
D08_15,State EMS Certification Licensure Level,6090,EMT-Basic
D08_15,State EMS Certification Licensure Level,6100,EMT-Intermediate
D08_15,State EMS Certification Licensure Level,6110,EMT-Paramedic
D08_15,State EMS Certification Licensure Level,6111,Nurse
D08_15,State EMS Certification Licensure Level,6112,Physician
D08_15,State EMS Certification Licensure Level,6120,First Responder
D08_15,State EMS Certification Licensure Level,10007,Text as defined in D04_01
D08_16,National Registry Credentialed,-25,Not Applicable
D08_16,National Registry Credentialed,-10,Not Known
D08_16,National Registry Credentialed,-5,Not Available
D08_16,National Registry Credentialed,0,No
D08_16,National Registry Credentialed,1,Yes
E00,Common Null Values,-25,Not Applicable
E00,Common Null Values,-20,Not Recorded
E00,Common Null Values,-15,Not Reporting
E00,Common Null Values,-10,Not Known
E00,Common Null Values,-5,Not Available
E02_02,Incident Number,-25,Not Applicable
E02_02,Incident Number,-10,Not Known
E02_02,Incident Number,-5,Not Available
E02_02,Incident Number,10001,Relevant Value for Data Element & Patient Care
E02_03,EMS Unit (Vehicle) Response Number,-25,Not Applicable
E02_03,EMS Unit (Vehicle) Response Number,-10,Not Known
E02_03,EMS Unit (Vehicle) Response Number,-5,Not Available
E02_03,EMS Unit (Vehicle) Response Number,10001,Relevant Value for Data Element & Patient Care
E02_04,Type of Service Requested,30,911 Response (Scene)
E02_04,Type of Service Requested,35,Intercept
E02_04,Type of Service Requested,40,Interfacility Transfer
E02_04,Type of Service Requested,45,Medical Transport
E02_04,Type of Service Requested,50,Mutual Aid
E02_04,Type of Service Requested,55,Standby
E02_05,Primary Role of the Unit,60,Non-Transport
E02_05,Primary Role of the Unit,65,Rescue
E02_05,Primary Role of the Unit,70,Supervisor
E02_05,Primary Role of the Unit,75,Transport
E02_06,Type of Dispatch Delay,-25,Not Applicable
E02_06,Type of Dispatch Delay,-15,Not Reporting
E02_06,Type of Dispatch Delay,-10,Not Known
E02_06,Type of Dispatch Delay,-5,Not Available
E02_06,Type of Dispatch Delay,80,Caller (Uncooperative)
E02_06,Type of Dispatch Delay,85,High Call Volume
E02_06,Type of Dispatch Delay,90,Language Barrier
E02_06,Type of Dispatch Delay,95,Location (Inability to Obtain)
E02_06,Type of Dispatch Delay,100,No Units Available
E02_06,Type of Dispatch Delay,105,None
E02_06,Type of Dispatch Delay,110,Other
E02_06,Type of Dispatch Delay,115,Scene Safety (Not Secure for EMS)
E02_06,Type of Dispatch Delay,120,"Technical Failure (Computer, Phone etc.)"
E02_07,Type of Response Delay,-25,Not Applicable
E02_07,Type of Response Delay,-15,Not Reporting
E02_07,Type of Response Delay,-10,Not Known
E02_07,Type of Response Delay,-5,Not Available
E02_07,Type of Response Delay,125,Crowd
E02_07,Type of Response Delay,130,Directions
E02_07,Type of Response Delay,135,Distance
E02_07,Type of Response Delay,140,Diversion
E02_07,Type of Response Delay,145,HazMat
E02_07,Type of Response Delay,150,None
E02_07,Type of Response Delay,155,Other
E02_07,Type of Response Delay,160,Safety
E02_07,Type of Response Delay,165,Staff Delay
E02_07,Type of Response Delay,170,Traffic
E02_07,Type of Response Delay,175,Vehicle Crash
E02_07,Type of Response Delay,180,Vehicle Failure
E02_07,Type of Response Delay,185,Weather
E02_08,Type of Scene Delay,-25,Not Applicable
E02_08,Type of Scene Delay,-15,Not Reporting
E02_08,Type of Scene Delay,-10,Not Known
E02_08,Type of Scene Delay,-5,Not Available
E02_08,Type of Scene Delay,190,Crowd
E02_08,Type of Scene Delay,195,Directions
E02_08,Type of Scene Delay,200,Distance
E02_08,Type of Scene Delay,205,Diversion
E02_08,Type of Scene Delay,210,Extrication >20 min.
E02_08,Type of Scene Delay,215,HazMat
E02_08,Type of Scene Delay,220,Language Barrier
E02_08,Type of Scene Delay,225,None
E02_08,Type of Scene Delay,230,Other
E02_08,Type of Scene Delay,235,Safety
E02_08,Type of Scene Delay,240,Staff Delay
E02_08,Type of Scene Delay,245,Traffic
E02_08,Type of Scene Delay,250,Vehicle Crash
E02_08,Type of Scene Delay,255,Vehicle Failure
E02_08,Type of Scene Delay,260,Weather
E02_09,Type of Transport Delay,-25,Not Applicable
E02_09,Type of Transport Delay,-15,Not Reporting
E02_09,Type of Transport Delay,-10,Not Known
E02_09,Type of Transport Delay,-5,Not Available
E02_09,Type of Transport Delay,265,Crowd
E02_09,Type of Transport Delay,270,Directions
E02_09,Type of Transport Delay,275,Distance
E02_09,Type of Transport Delay,280,Diversion
E02_09,Type of Transport Delay,285,HazMat
E02_09,Type of Transport Delay,290,None
E02_09,Type of Transport Delay,295,Other
E02_09,Type of Transport Delay,300,Safety
E02_09,Type of Transport Delay,305,Staff Delay
E02_09,Type of Transport Delay,310,Traffic
E02_09,Type of Transport Delay,315,Vehicle Crash
E02_09,Type of Transport Delay,320,Vehicle Failure
E02_09,Type of Transport Delay,325,Weather
E02_10,Type of Turn-Around Delay,-25,Not Applicable
E02_10,Type of Turn-Around Delay,-15,Not Reporting
E02_10,Type of Turn-Around Delay,-10,Not Known
E02_10,Type of Turn-Around Delay,-5,Not Available
E02_10,Type of Turn-Around Delay,330,Clean-up
E02_10,Type of Turn-Around Delay,335,Decontamination
E02_10,Type of Turn-Around Delay,340,Documentation
E02_10,Type of Turn-Around Delay,345,ED Overcrowding
E02_10,Type of Turn-Around Delay,350,Equipment Failure
E02_10,Type of Turn-Around Delay,355,Equipment Replenishment
E02_10,Type of Turn-Around Delay,360,None
E02_10,Type of Turn-Around Delay,365,Other
